bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
ES,offwind,294.0260837146372,300.3098233468496,297.15848015385944,294.23104871717936,313.68611117366174,318.64870017049276,299.6137279803868,304.060572923373,294.7962930152678,309.1809033568143,310.75290492604074,314.2474600614465,316.49844238528846,288.50353747002896,327.2996490094556,303.47245679166116,317.22226739087563,332.15325836452814,332.6678334426829,312.2023434823404
ES,onwind,176.09680377383256,173.3498028813352,179.61363280292034,164.75992557075884,173.86713408791437,182.43289883386024,175.50779644458672,172.949978266251,174.573667413811,181.93033563450874,181.05620365735658,185.60635666337728,179.6878693754357,176.5578859219206,185.33004936776663,193.6289553754145,186.73554004308252,194.83069055444147,191.574603485314,191.50752875633697
ES,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,solar,191.10362876292334,191.78424436251674,189.04224903784134,189.12285651280578,189.90344318195963,190.92252091537574,190.76926270102095,190.63976870466132,188.1844543313872,190.19800396781338,189.98527690452585,189.6445028582821,188.12175257228586,190.15279017081804,189.80109125327292,188.77868409238746,187.96124058593935,187.76831149329175,191.9226109075707,186.54803333748794
FI,OCGT,250.26861765826868,203.52965413080253,209.52104366661834,275.6162652997391,163.15916597038864,185.0293653915902,147.4639745435362,197.40140711584257,173.1386855681706,229.47649812509303,213.6824016664618,199.88554548027088,244.34164504668698,208.17852875573757,153.19367011220385,159.78286728774145,175.93619567421277,215.8182777809953,152.9351218139255,169.0668361076582
FI,offwind,355.8097705275447,363.7148819707245,353.31903793761813,372.942384446584,378.739127770363,364.48452429827654,352.2319653719388,355.6907491797303,356.8856423801723,367.6673325931522,359.75112702699823,335.4249435099227,361.4574458412519,351.64955742215955,362.7194665649668,346.9615368077339,357.4265644701267,350.1421247046735,355.5540108226082,357.92499015718727
FI,onwind,188.94179025208348,204.03078451013286,196.86857775335454,208.78323314028324,208.09352609043052,215.79238426784332,205.21295796487192,196.61944006993468,199.8583749282933,207.79315279835393,187.25238621167975,187.41846062464663,190.6439340462369,209.90805584806265,205.36883024013764,192.04145218188143,195.0704856963752,183.66823048076907,195.6579114675225,198.71713114242246
FI,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,solar,378.5774805526239,391.5688860989866,402.60465255145306,381.8771922870358,378.3888595059013,391.399416646129,421.91102962757964,417.76236505778337,411.9679452660812,420.201775884685,441.9969288159884,426.89628203287344,446.9222673549357,415.0189655323601,430.64622335553906,441.57437887323704,461.6961623340966,473.6838175429939,456.4182309892417,472.1446490055427
FR,OCGT,358.2367801727897,313.8127193230072,320.3816349759352,327.79329020152306,307.65246364193746,261.36298754547545,308.5066168610139,330.17751676318153,342.3862462664694,312.58971826924744,338.8561257587229,291.0094608833147,375.8197993826205,302.7190521333781,335.21523202604766,386.12278187139975,299.73634006773983,327.86084631365145,334.02142846130766,347.49123131153317
FR,offwind,280.0287569398107,294.8973846430664,289.8163018709678,287.910588707852,288.85033991031935,310.92276541796446,288.9539269932361,293.00998361450087,284.8608062029966,306.39547406015623,305.12432722658104,295.70182297478175,303.9773894329505,283.7396204788923,310.5092565969076,293.5654570714375,314.53764056121923,318.97886198286193,316.5014550929908,294.3760708597377
FR,onwind,179.7103984797218,180.0113958898328,186.10525033821696,168.07020327340678,179.07517436527183,226.90824009325337,176.39770579362192,185.52374105361497,183.8584598852338,191.49018718692395,175.56242446343472,196.76284388708066,193.72028070234924,178.47054747371905,180.78663831484744,198.2990950153338,195.32196850574854,204.78999007964885,184.43981195897825,191.26089708768095
FR,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,solar,281.2076953941009,285.6703288546342,297.6274657108045,300.1132132480017,303.63210708571387,289.58210449300475,297.7206898940293,293.62537679661773,288.69302325547653,312.0251891145453,301.76013895948904,297.4865930195116,307.71195984746447,280.17330960741776,307.19315896660333,302.03671010739544,304.13548616991335,291.2042877318894,299.1213722786848,300.6643959227006
GB,OCGT,396.8206565825963,341.2106819780139,361.57356663489145,338.8019937432995,323.61470453619125,278.0241652561433,302.9864818125323,343.2828058804519,347.7333694599984,333.6923640442338,310.09419318775497,303.7066686319475,427.52235669260637,236.0445954415119,236.09622893178897,291.32773066803287,306.1806045924002,353.732709537997,341.83721274129744,305.6908484117492
GB,offwind,245.54575310978174,252.576678009669,251.67523693141797,250.53594508178014,261.18828967742724,265.92730450262746,252.5509678616221,246.33389225270002,245.1826745672888,256.86762492200626,258.43796980237397,247.8501583009942,262.51467744999917,250.6814557996012,274.13779138086784,254.8505341208174,261.09288072103874,259.33894967409026,275.80232892458355,260.4985866468169
GB,onwind,132.99351834895816,134.31738337422814,130.7772058952564,132.77648655517805,133.52273281554818,136.34580331521926,131.5642154760119,131.316763665162,134.03403857359208,134.69981448245593,137.11667283403838,134.50653904782075,132.49364437725433,143.85221179206133,139.11048529573097,139.34302829122007,139.2278169700172,133.1927183646221,140.05426794771253,135.30971797063782
GB,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,solar,346.1893087234789,353.65788226739926,355.60193922180855,372.5873344641037,378.3663687820823,362.06601238942363,364.6243367088679,371.5807687614625,353.6983024569271,374.1101831410569,372.6320758522682,380.18042642770234,382.6741184021127,352.2670805924263,394.8041643645883,376.8076478492549,379.43102237483583,382.14837609791306,391.9648274583135,389.13785947306894
GR,OCGT,210.47820460911208,136.4320857798712,239.11271539711848,243.80233231750634,115.35214944499002,116.69706897857947,97.3520280891563,150.9500882348548,131.5406094029644,100.69712654439196,131.1405504656055,204.62494443107187,160.1543617839064,108.02839213867371,112.16170608809799,102.01038163931686,134.27740538999905,110.02418107823325,163.45792916500346,201.84781814172095
GR,offwind,390.7835022601628,398.76963750663737,382.9994909449284,419.1145505856229,420.09790322076856,437.0102465125564,391.550961222512,417.1327111702138,384.2595477696846,422.11992976645143,413.4484282196114,396.10509594696873,417.7904760780182,388.9597641034945,433.4166349003909,410.3380119674359,405.59353853974153,435.1006327483719,426.11111536622525,406.47951563195744
GR,onwind,182.09671080108734,177.68447433196337,177.87955994889347,186.5819926958698,184.67593191754767,190.80977320427365,176.76693681651537,185.77863811494916,188.83411369158492,184.5010736165854,187.65876412640898,182.04674510299864,183.22342817480606,177.7605378648863,185.0256520120386,187.48847444866107,191.60596137812198,188.503228696858,189.54214850739064,188.0242474025028
GR,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,solar,222.53016480192028,194.77009594843548,225.6608974578306,176.30926855503702,173.73574324504176,226.520631725798,225.9270026901572,174.15830873582135,176.15682447306224,232.91297371874202,221.40980519374514,175.90064617335997,176.53450774308524,222.14258802970704,232.6034427388706,225.19426422012293,175.70647497507184,236.70315680365673,224.0026103917611,229.24738535979228
HR,OCGT,183.9229501874837,176.16863999071856,189.39569386996644,204.50927184561365,142.23600788013945,134.73816353505026,127.64441949683419,171.84531919089594,128.6103763114994,156.27452992834665,156.08290695178846,158.62383765467985,153.97306474639257,159.53468878189366,132.34772260004695,117.33009660203845,148.52888577502608,136.66013901911762,125.61070966911758,179.6168011936334
HR,offwind,490.73647006319305,533.5073281903227,491.0378680527871,522.4609866768302,514.9299393467827,481.30242160695303,510.78161603889066,530.9459111468286,521.3895987995104,538.1019930447043,539.0020609281372,528.6696138258933,536.9262178089803,480.0479536117869,530.4083492296809,524.4058415806066,535.223421050398,562.5336165506718,564.9430489287421,493.5570988850881
HR,onwind,262.33910669341947,263.50317365948496,273.4498477354166,276.63098672098795,269.0691162998961,257.92775203859907,253.27620151320303,278.03522849506345,267.67912009047194,278.37790948067993,275.06385102986616,261.62608752529843,267.79211786073324,260.77076312122443,277.01191854132026,277.8194458432141,265.50308297706243,283.92054407061386,283.5570272381182,258.5010001916821
HR,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,solar,246.34507706594076,242.884073526206,247.53187184371603,247.1048435314565,249.569107985995,246.0651901010262,204.82269854347095,249.28843453989447,247.21486486777854,251.29947625011465,245.88680017337703,246.13200391029577,249.5999975116597,247.51337765013065,219.88904242636966,250.81808554138942,255.2667586913422,201.81529141953504,204.12937395359845,220.3146260678556
HU,OCGT,255.09284939152639,218.30838709443879,243.4953078719442,282.45921707665894,132.32389137509236,206.5238232740167,189.65692926779698,204.69482066353495,176.39910753187087,200.0727860849848,191.2678757084209,230.6456077834236,241.32345677271687,242.23845774791383,157.4484363048013,215.77209128432452,174.1438245724702,174.03703071285352,178.45746332447882,209.34603676582734
HU,onwind,333.12225187573074,351.39864874042064,356.6367295141201,344.28527087564066,338.25071207951555,333.7462033279368,330.2211107742268,347.69388082278806,338.3456229242003,356.5891101613974,376.32708923424735,335.63805533862626,360.4383666925908,332.99682049924223,343.0602776273641,361.0843768023802,355.5468515912372,355.29484714474677,344.72283712099534,318.9968398291042
HU,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,solar,252.39444757772327,255.62900136916824,259.99589317652976,263.45617398489765,256.2904605685712,257.03369612783985,256.7139849754215,263.69453035513686,257.05327663068465,268.1834252239269,259.9320623277076,257.3662112665874,260.590399617345,255.597490483566,265.86862653842337,259.96949299708143,266.87117708667085,205.79250000268044,210.00035153879614,269.3959768569719
IE,OCGT,244.2612029858745,193.7799862377613,194.6723622561137,194.16882278185562,126.9161867777679,212.46599325290185,158.8813079798316,183.37074002354947,109.15950792484853,210.98530441908946,202.4522538936064,114.18345789297203,181.9211283311144,181.0942105214824,138.99497477239694,120.70987805361985,158.27330397213433,196.0504502869365,140.90294051600193,174.29686150814445
IE,offwind,221.26726780093122,232.75432750927698,233.62190546867723,226.15926219294096,246.26605661824624,244.2238191627775,231.30033390150612,229.116459263925,224.46933191314986,242.27580298223,235.98531958142866,220.7348923537041,237.36296999476266,234.59463737971873,250.5853660952906,234.8546657105245,242.54038490168028,238.7997988342447,254.981802792388,238.26406732559832
IE,onwind,135.27363376875053,140.7676190171943,144.83830962232489,139.67780034087917,148.2101018312316,143.80410762370238,142.5287874921812,140.00619209216308,141.298367322988,142.60453317752408,146.8501864589539,141.5638438489313,138.97777451439893,151.37276833808897,149.25832385102092,148.20272089184016,146.9203452507815,143.91669990852364,154.77181662589211,145.52977082535952
IE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,solar,404.57403722711996,406.5521132753127,385.0983391433066,414.61298129933346,415.84455543263044,404.74877549546505,404.1726153983786,416.90085160685726,408.2163968772589,417.6821369969248,428.07801380785423,439.11657080731914,451.50683158978916,397.9204107060544,426.40307197884874,435.3778447751247,443.74003257984697,457.44701865166456,449.1582893046811,444.6115895101529
IT,OCGT,258.9324771508048,246.13500688649543,241.34098674503676,263.77814322151204,174.14338819875778,227.92125428818292,276.08354269829584,255.98525703661264,230.74840091883686,240.87833773020316,226.8856565314198,246.64012184614103,268.1406136308645,254.83944830674753,206.06913724259675,258.1560062059775,198.4005371762225,212.75018211571128,231.77746882282574,202.7692344265324
