bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2076-2082
IT,offwind,460.77759946646825,494.91536388140514,455.60597263312013,448.33694167523726,508.34304613991145,464.0371666896084,497.77331857919813,460.65533063065834,459.04040720454196,488.3149783230137,474.4289664523826,494.67051322074883,511.50370579781696,502.3032043774211,487.43389919291997,461.11615169055943
IT,onwind,196.2294593094398,189.83614213167036,202.3793315524478,190.47845912109455,204.81047228811906,203.5153980575731,209.337739130034,209.72828073290577,206.66990948231935,203.80292508341904,219.79740427946857,206.1119479565654,212.32218157857145,249.8515993292486,212.07491205451663,211.48148583504312
IT,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,solar,239.882051919627,240.1325547651356,187.56577746848313,187.8533201526155,187.84212175343038,188.06998396203284,186.75349157267203,189.54078353336254,188.5925677527995,186.7594379790228,189.7275055700891,188.09994901688015,190.19692192593578,189.0741132780611,190.63006011565918,190.37140367261938
LT,OCGT,138.92010018886822,111.96048190400542,129.0351321647009,174.10325506810346,117.74823657792489,172.7936592451425,104.85880790201381,151.81985424188224,146.63586671440612,129.74289647524367,156.942058909744,139.36601867388165,159.48629426864275,157.34958761090175,135.98649997670213,154.0487554617759
LT,offwind,290.45130157120843,316.75538636658723,302.51335601427314,315.81336858918223,314.5316366651013,300.11753897431197,300.886443941623,314.9576715036447,319.63933340470294,316.59904165522033,312.6381211284969,296.2913737606441,300.826829720314,305.4989958325509,325.5949078902147,305.46614538684923
LT,onwind,186.12329423858924,216.54761898031856,199.85441540523476,222.8709911872169,198.47757889794212,196.3431594696864,201.38900753091423,215.80000165717843,205.3119504210876,213.93774288123717,225.61716039003144,200.55348586106874,199.67470975870623,228.77483538224223,244.08422392537145,226.63424171578518
LT,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,solar,332.11392362383987,341.95772665003466,319.37905084333397,318.21893713298385,347.8386074365921,342.2444476589303,362.2335258648113,325.2481743376053,368.6610461657961,362.5845675510537,340.5390208411886,356.0532362656035,365.7976277045079,358.5149445432613,352.96930085688444,351.51968341438527
LU,OCGT,112.60574915488233,115.74281164243537,114.67442431248723,123.06973253498245,121.69779967037334,118.75152841943653,111.37670677375648,124.65428200585242,125.09505255087382,112.99986133317209,117.80567385227434,112.20537625836825,118.43355814105612,120.91301078164365,113.80092821003254,116.04527009198132
LU,onwind,225.95486283708507,209.08218951561037,223.03555014620102,226.50935545976543,235.55838961150133,224.04141091806224,227.67749718084815,236.1070781954896,237.0782365688833,241.09080952746143,238.08603916650642,212.33916250813715,227.85404772196387,237.3035018632962,279.33086655578603,225.25757827439747
LU,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,solar,329.23076774774546,322.1170114826479,305.5404450154713,310.2520399657279,321.28645372797234,331.6736313335617,332.12713653407684,304.1419412771745,330.950741658169,329.4250224867495,324.94733038323733,330.05375969166295,310.4111221170988,326.54901802173026,304.0839402915235,304.7367524855231
LV,OCGT,133.24840838030033,134.66547112337966,129.44651458757997,175.97453218123349,147.01271455626502,191.0401708440722,104.95052978396289,150.0993774316414,152.3596126897402,118.47329944583922,137.14572393463038,126.69177844720757,149.45895238217366,157.2559858075715,123.63895635340423,171.14020817100166
